"","kommunenummer","KomNavn","area_t0","area_t1","area_t2","pop_t0","pop_t1","pop_t2","km2_change_2000_2022","km2_change_2022_2050","pop_change_2000_2022","pop_change_2022_2050","bpc_t0","bpc_t1","bpc_t2","AGR_pop_1","AGR_pop_2","AGR_bpc_1","AGR_bpc_2","combined_change_class_1","combined_change_class_2","category_1","category_2","BPC_ratio","BPC_ratio_t_1_2","pop_change_class_norsk","pop_change_class_t_1_2_norsk","bpc_change_class_norsk","bpc_change_class_t_1_2_norsk"
"43",4201,"Risør",2980164.13043477,4163879.34782608,5670425.98814229,7000,6735,6904,1.18371521739131,1.50654664031621,-265,169,425.737732919253,618.244892030598,821.324737564063,-0.175265953135051,0.0885504110286206,1.71019160261265,1.01956942649089,"pop_Stabil_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","f) Ekspansjon i utbygd areal","e) Moderat arealvekst",1.45217312027134,1.32847799982052,"Stabil","Stabil","Sterk økning","Moderat økning"
"44",4014,"Kragerø",3635256.52173905,6214734.78260864,9497707.1146245,10656,10351,10069,2.57947826086959,3.28297233201586,-305,-282,341.146445358394,600.399457309307,943.262202266809,-0.131912829330516,-0.0986004166270815,2.60276521819505,1.6264750491445,"pop_Stabil_bpc_Sterk økning","pop_Stabil_bpc_Sterk økning","f) Ekspansjon i utbygd areal","f) Ekspansjon i utbygd areal",1.75994639685767,1.57105771962893,"Stabil","Stabil","Sterk økning","Sterk økning"
"45",4226,"Hægebostad",457522.826086951,654955.434782607,906233.300395258,1621,1704,1691,0.197432608695656,0.251277865612651,83,-13,282.247270874122,384.36351806491,535.91561229761,0.227235906939938,-0.0273475402021828,1.41355771245424,1.19417378839926,"pop_Stabil_bpc_Sterk økning","pop_Stabil_bpc_Sterk økning","f) Ekspansjon i utbygd areal","f) Ekspansjon i utbygd areal",1.36179711100318,1.39429364939652,"Stabil","Stabil","Sterk økning","Sterk økning"
"46",1121,"Time",4569916.3043478,6186727.17391303,8244486.46245061,13317,19353,23350,1.61681086956523,2.05775928853758,6036,3997,343.164098847173,319.677940056479,353.082932010733,1.71363544579177,0.672787176718814,-0.321729988043917,0.355591132433886,"pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Moderat økning","g) Arealeffektiv vekst","i) Rask vekst i utbygd areal",0.931559977079206,1.10449576829841,"Vekst","Vekst","Liten endring","Moderat økning"
"47",4639,"Vik",2500043.47826087,2539565.2173913,2589865.61264822,2965,2560,2170,0.0395217391304303,0.0503003952569196,-405,-390,843.184984236381,992.017663043477,1193.48645744158,-0.665366450928817,-0.588547273940154,0.741620772222862,0.662517811630159,"pop_Nedgang_bpc_Moderat økning","pop_Nedgang_bpc_Moderat økning","b) Stillstand i utbygd areal","b) Stillstand i utbygd areal",1.17651248728283,1.2030899266249,"Nedgang","Nedgang","Moderat økning","Moderat økning"
"48",1813,"Brønnøy",1127044.56521739,1356877.17391304,1649391.40316206,7433,7777,7395,0.22983260869565,0.29251422924902,344,-382,151.627144520031,174.473083954358,223.041433828541,0.20585301412952,-0.179718895947667,0.639975384896219,0.880954453027916,"pop_Stabil_bpc_Moderat økning","pop_Stabil_bpc_Moderat økning","e) Moderat arealvekst","e) Moderat arealvekst",1.15067183060556,1.27837159046772,"Stabil","Stabil","Moderat økning","Moderat økning"
"49",1815,"Vega",64301.0869565216,72577.1739130434,83110.3754940712,1414,1175,1209,0.00827608695652179,0.0105332015810278,-239,34,45.4746018080068,61.7678075855689,68.7430731960887,-0.838079368550715,0.101928426164277,1.40167972374701,0.382851231823378,"pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.35829243423289,1.11292720080532,"Nedgang","Stabil","Sterk økning","Moderat økning"
"50",5544,"Nordreisa - Ráisa - Raisi",1283282.60869565,1283282.60969565,1283282.61069565,4821,4746,4642,0,0,-75,-104,266.185979816563,270.392458848641,276.45036852556,-0.0712437796042797,-0.0791003069191443,0.071294576097003,0.0791629278210637,"pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",1.01580278208107,1.02240413694492,"Stabil","Stabil","Liten endring","Liten endring"
"51",3124,"Aremark",699133.695652169,1007501.08695652,1399968.67588933,1451,1315,1515,0.308367391304351,0.39246758893281,-136,200,481.828873640365,766.160522400395,924.071733260284,-0.446347750114218,0.506918984865767,2.13057344644201,0.671523227292514,"pop_Nedgang_bpc_Sterk økning","pop_Vekst_bpc_Moderat økning","c) Nedgang-spredning","i) Rask vekst i utbygd areal",1.59010919501735,1.20610721414509,"Nedgang","Vekst","Sterk økning","Moderat økning"
"52",3216,"Vestby",5586632.6086956,9392967.3913043,14237393.4782609,11815,18699,24377,3.8063347826087,4.8444260869566,6884,5678,472.842370604791,502.324583737328,584.050271906342,2.10874511809447,0.951534353320493,0.275307428975302,0.5398109329809,"pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Moderat økning","g) Arealeffektiv vekst","i) Rask vekst i utbygd areal",1.06235103908905,1.16269498012813,"Vekst","Vekst","Liten endring","Moderat økning"
