"kommunenummer","iKomNr","KomNavn","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area"
"5060",5060,"Nærøysund",1,50,581,5.2,11.8,0.93567596,5,0.06432404,16.5817544285999,1.55995498349491,0.0616228507945876,3714756.33901822,1345959635.19647
"4003",4003,"Skien",1,40,849,5.5,5.5,0.945206198,3,0.0547938019999999,77.7247312926038,5.53243636549312,1.95818121473614,190458.901166628,780466859.88756
"3414",3414,"Nord-Odal",0,34,708,-3.5,0.9,0.905031196,4,0.094968804,81.0422529667605,5.04398480703757,0.175152028024325,121927.975639871,508177728.083335
"5045",5045,"Grong",0,50,593,-6.9,-5.4,0.909248618,5,0.090751382,54.0196803267145,1.70046472327841,0.0554499366286439,174368.206684344,1135628942.76216
"4223",4223,"Vennesla",0,42,775,11.2,10.2,0.93213294,3,0.06786706,80.7215127318126,2.50994876063152,0.941555908133274,131505.789296583,385831329.939906
"3222",3222,"Lørenskog",0,32,978,36.4,21.5,0.91068015,1,0.08931985,65.1403459030337,8.98780833569606,9.38474624326623,41436.0345029173,70577424.2921592
"1866",1866,"Hadsel",1,18,605,1.7,2.7,0.902426684,5,0.097573316,19.5827458397008,1.85071048032354,0.230494507814017,695519.021197032,566165449.541189
"1133",1133,"Hjelmeland",1,11,593,-6.4,-5.9,0.907519783,5,0.092480217,27.2065271592414,1.82351221693003,0.0275117354746634,326983.357382231,1073534689.34206
"5021",5021,"Oppdal",0,50,666,6.8,6.8,0.935538737,5,0.064461263,18.4740403938244,1.87501923829542,0.107734454357969,231142.236948439,2276695449.31226
"5526",5526,"Sørreisa",1,55,610,0.6,5,0.904590993,5,0.095409007,51.0804797585863,1.80037337288699,0.11508068434647,126096.531959957,362828233.543797
"5025",5025,"Røros - Rossen",0,50,644,0.2,-2.9,0.943957223,5,0.056042777,43.1166401741859,1.40248296729414,0.105288444337679,211294.968402489,1956335152.02985
"3214",3214,"Frogn",1,32,891,4.1,6.7,0.925694055,2,0.074305945,51.8852387969143,13.9290976857069,3.09439195631447,110454.051696359,85756456.8225462
"4650",4650,"Gloppen",1,46,617,3.8,1.5,0.94200451,5,0.05799549,29.9941567453071,2.7381126287342,0.145168358775838,251113.10999205,1035199676.56477
"1514",1514,"Sande",1,15,560,-7.1,-6,0.867571296,6,0.132428704,5.15219560878243,2.53555389221557,0.130988023952096,226045.793109546,93714242.3459327
"4642",4642,"Lærdal",1,46,570,-2.2,3.6,0.930642093,5,0.069357907,20.0759434264138,0.865385299116127,0.0462202501582155,244896.518301066,1346506182.77112
"1505",1505,"Kristiansund",1,15,749,0.1,-5.1,0.956227466,4,0.043772534,10.9467178574773,0.798295720573087,1.299278958704,194689.526574839,87655608.9140415
"4221",4221,"Valle",0,42,466,-7.6,-15.8,0.920901694,6,0.079098306,36.8596177860677,0.586440731549247,0.0134359736338776,195734.51815153,1270054196.30435
"3449",3449,"Sør-Aurdal",0,34,581,-8.9,1.4,0.888272677,5,0.111727323,74.6260312880393,1.72039132590956,0.0351652315044407,179765.747129605,1110500891.72382
"3240",3240,"Eidsvoll",0,32,851,23.5,10.9,0.92950923,3,0.07049077,64.7330719183334,11.3365024425508,1.62544634055511,122286.012050298,456614964.450056
"4645",4645,"Askvoll",1,46,504,-2.3,-0.9,0.91138107,6,0.08861893,8.35810403695521,1.49427595902792,0.0341434022896164,697685.270532968,328182635.542316
"3322",3322,"Nesbyen",0,33,640,-4,5.6,0.931790243,5,0.068209757,68.3262724948433,1.60814199078591,0.139569927003693,131686.263369296,811082749.696874
"1106",1106,"Haugesund",1,11,836,5.9,1.6,0.938873351,3,0.061126649,6.23885160961522,1.1042215238257,4.06013760298989,165147.733521112,73173595.3871689
"1576",1576,"Aure",1,15,501,-5.3,1.9,0.922259383,6,0.077740617,32.767978937528,2.1444038500062,0.0324331543150404,762751.4653307,642432686.159279
"3419",3419,"Våler (Innlandet)",0,34,669,-5.3,-1.8,0.820479139,5,0.179520861,75.1644736842105,7.61541515426497,0.138951905626134,211457.774852188,705199283.605012
"1836",1836,"Rødøy",1,18,338,-13.1,-11.3,0.794088001,6,0.205911999,6.4151890608476,0.305328433813272,0.00123448153832859,1363453.3668804,710807701.315105
"4010",4010,"Siljan",0,40,739,-2.1,-8.7,0.91632,4,0.08368,86.2724935732648,3.42603412012152,0.25706940874036,78989.5286869407,214259504.631561
"3415",3415,"Sør-Odal",0,34,777,3.4,9.4,0.932974227,3,0.067025773,72.7658009830863,13.0181522622595,0.388977048418934,129461.214698586,516737479.389303
"1508",1508,"Ålesund",1,15,800,9.9,1.1,0.956472332,3,0.043527668,18.7957224221188,2.55574603294212,1.01162330689675,630232.389621607,372720809.34402
"4617",4617,"Kvinnherad",1,46,587,-1.9,-0.6,0.93959737,5,0.06040263,27.200281572289,1.72330209917454,0.25368069436789,639596.398959217,1096505833.27617
"1532",1532,"Giske",1,15,714,15.3,14.4,0.935666662,4,0.064333338,0.639097744360902,2.41707209199469,0.521892967713401,148243.575479654,40764795.7923497
"4628",4628,"Vaksdal",1,46,644,-6.2,-18,0.912636214,5,0.0873637860000001,34.4626646758017,0.802071908983998,0.129494311499888,332158.82793314,719112609.412491
"3122",3122,"Marker",0,31,732,1.4,1.2,0.919631149,4,0.080368851,74.8964615272833,10.0365714839303,0.21313182687883,118954.491892814,412934392.55337
"5049",5049,"Flatanger",1,50,475,-4.3,15.2,0.789221726,6,0.210778274,15.4361764134447,0.875178833212639,0.0229613013759118,848862.391998659,458792497.606898
"5053",5053,"Inderøy",1,50,670,2.2,2.3,0.928895754,4,0.071104246,46.1209507857881,9.94797049285485,0.210256227504365,224017.263253502,365719862.697701
"3434",3434,"Lom",0,34,547,-6.4,-12.1,0.907659003,6,0.092340997,10.9126006451449,0.996672677859338,0.0299712986716111,236238.122675899,1972713309.24911
"5036",5036,"Frosta",1,50,657,0.7,0,0.894000089,5,0.105999911,17.6827296248383,10.1309831824062,0.06872574385511,79428.1806989689,76343252.8911893
"3401",3401,"Kongsvinger",0,34,792,1.9,2.7,0.952867295,3,0.047132705,80.6570505089488,5.37121906507791,0.455400646437358,201894.905631458,1036228003.44365
"4630",4630,"Osterøy",1,46,717,6.2,9,0.912512779,4,0.0874872209999999,51.6942626107047,3.83776151970222,0.413939160569888,168057.714913138,256589696.328788
"5035",5035,"Stjørdal",1,50,802,9.7,5.8,0.945408487,3,0.054591513,57.7172153264976,8.90048170134517,0.470708160940217,181421.152114481,938341238.650403
"1874",1874,"Moskenes",1,18,442,-12.4,-1,0.870508238,6,0.129491762,0.130676949443016,0,0.0792630676949443,213515.135380547,118715861.115727
"4034",4034,"Tokke",0,40,533,-3.8,-4.4,0.90937405,6,0.09062595,63.5326738304658,1.0308964228402,0.0792215970261431,191261.700308602,987687214.018098
"4602",4602,"Kinn",1,46,663,-0.6,-1.3,0.954869141,5,0.045130859,16.2294135694933,0.810716644392326,0.238690788823655,1491976.72971137,816397028.982463
"3426",3426,"Tolga",0,34,567,-7.5,-2.7,0.896349862,5,0.103650138,38.3400441847206,2.81766676168757,0.0311787343215507,203630.057367153,1122801797.80525
"5057",5057,"Ørland",1,50,603,6.6,13.9,0.935379662,5,0.064620338,12.4289028836593,4.94464700033146,0.15512098110706,871525.288605261,457494844.194946
"3407",3407,"Gjøvik",0,34,805,3.9,8.2,0.951837518,3,0.048162482,73.3545916466749,9.95961913844228,1.24718749534354,122130.551178744,671567701.89958
"4623",4623,"Samnanger",1,46,683,2.5,-1.8,0.925079221,4,0.074920779,41.3161886376172,0.865278543849972,0.134445670159956,150693.108184443,270542639.474798
"5601",5601,"Alta",1,56,713,8.5,11.9,0.946202769,4,0.053797231,19.1025905462397,0.57094708755546,0.129461484111346,892866.27652002,3855565759.41439
"1804",1804,"Bodø",1,18,793,8.2,8.6,0.952387825,3,0.047612175,11.5878583459887,0.582386687357174,0.176725665000238,1703827.98114077,1394212013.74169
"3427",3427,"Tynset",0,34,647,1,-0.1,0.94046098,5,0.05953902,42.2266069586121,3.33145416059481,0.084562773233489,282765.78459643,1881210878.24533
"3318",3318,"Krødsherad",0,33,656,-0.5,1,0.894128701,5,0.105871299,76.7223883785516,2.64099551377911,0.117496261482589,90599.238452462,374984834.932903
"1577",1577,"Volda",1,15,705,8.9,7.9,0.939381044,4,0.060618956,30.4734912972941,2.67190097542412,0.252368457948605,370494.572954841,880637844.988126
"3212",3212,"Nesodden",1,32,850,12.9,19.5,0.932341034,3,0.067658966,39.6310596310596,4.89060489060489,4.7018447018447,67151.3128514454,61504999.4529764
"5524",5524,"Målselv",1,55,576,2.3,1.5,0.934468705,5,0.065531295,31.0889519831493,1.0487020822099,0.0560102248453015,366845.974226252,3324350930.8176
"3334",3334,"Flesberg",0,33,688,3,4.6,0.895861066,4,0.104138934,80.4523856133545,2.45946859817409,0.0516096883842608,117292.009554944,562778774.378058
"3224",3224,"Rælingen",0,32,948,19.5,19.2,0.927869326,1,0.072130674,58.7332589285714,7.11495535714286,5.2734375,46289.757611603,71709144.8466741
"3101",3101,"Halden",1,31,842,6.2,4.2,0.946437087,3,0.053562913,72.8013546407027,9.58982809972333,1.50129265379556,192270.711088443,642426951.063669
"1144",1144,"Kvitsøy",1,11,525,1.3,6.1,0.674786621,6,0.325213379,0,0.506314711571282,0.113778586869951,139942.631238902,6327607.91165059
"4036",4036,"Vinje",0,40,550,3,11.4,0.925654949,6,0.074345051,24.9887309069366,0.455915307936017,0.0318754346650182,295236.751441413,3116019213.72081
"5610",5610,"Kárásjohka - Karasjok",0,56,554,-6.5,0.6,0.922062397,6,0.077937603,60.8044467755009,0.193473612399916,0.015221146757529,389842.59749069,5469608766.57921
